currentLoggedInUser,subcategoryName,mainCategoryName,isActive,dateCreated
hhANBj74wiclvfuDLGfuDlFZgJ62,Studied/Revised,Education,0,2021-07-01
hhANBj74wiclvfuDLGfuDlFZgJ62,English Comms,Skills,0,2021-07-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Programming,Skills,0,2021-07-01
hhANBj74wiclvfuDLGfuDlFZgJ62,SM/Anime/MM,Entertainment,0,2021-07-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Reading,Personal Growth,0,2021-07-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Sleep,Sleep,0,2021-07-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Exercise,Personal Growth,0,2021-08-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Video Games,Entertainment,0,2021-08-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Spanish Comms,Skills,0,2021-09-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Journaling,Personal Growth,0,2021-10-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Lec/Exams/Assign,Education,0,2021-10-01
hhANBj74wiclvfuDLGfuDlFZgJ62,UX/UI,Skills,0,2021-12-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Google DA Certificate,Skills,0,2022-05-01
hhANBj74wiclvfuDLGfuDlFZgJ62,Meditation,Personal Growth,0,2023-02-01
hhANBj74wiclvfuDLGfuDlFZgJ62,German,Skills,0,2023-09-01
